Rank,Name,Genre,Platform,Publisher,Developer_x,Year,Total_Sales
258,Guild Wars 2,Role-Playing,PC,NCSoft,ArenaNet,2012.0,5.0
259,Halo 5: Guardians,Shooter,XOne,Microsoft Studios,343 Industries,2015.0,5.0
260,Halo: Combat Evolved,Shooter,XB,Microsoft,Bungie Studios,2001.0,5.0
261,Guitar Hero III: Legends of Rock,Misc,PS2,RedOctane,BudCat Creations,2007.0,4.98
262,Uncharted: Drake's Fortune,Action,PS3,Sony Computer Entertainment,Naughty Dog,2007.0,4.97
263,Resident Evil 2,Action,PS,Capcom,Capcom,1998.0,4.96
264,Fallout 3,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2008.0,4.96
265,Splatoon,Shooter,WiiU,Nintendo,Nintendo EAD,2015.0,4.94
266,Madden NFL 06,Sports,PS2,EA Sports,EA Tiburon,2005.0,4.91
267,Stardew Valley,Simulation,PC,Chucklefish,ConcernedApe,2016.0,4.91
268,Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,Square Enix,Level 5 / Armor Project,2005.0,4.9
269,Monster Hunter Freedom 3,Role-Playing,PSP,Capcom,Capcom,2010.0,4.9
270,Diddy Kong Racing,Racing,N64,Nintendo,Rare Ltd.,1997.0,4.88
271,Pokemon Mystery Dungeon: Explorers of Time / Darkness,Role-Playing,DS,Nintendo,ChunSoft,2008.0,4.88
272,Call of Duty: Black Ops IIII,Shooter,XOne,Activision,Treyarch,2018.0,4.85
273,Dr. Mario,Puzzle,NES,Nintendo,Nintendo R&D1,1990.0,4.85
274,Crash Bandicoot N. Sane Trilogy,Platform,PS4,Activision,Vicarious Visions,2017.0,4.83
275,Assassin's Creed,Action,PS3,Ubisoft,Ubisoft Montreal,2007.0,4.83
276,Call of Duty: Infinite Warfare,Shooter,XOne,Activision,Infinity Ward,2016.0,4.79
277,Crash Team Racing,Racing,PS,Sony Computer Entertainment,Naughty Dog,1999.0,4.79
278,LEGO Star Wars: The Complete Saga,Action,DS,LucasArts,Traveller's Tales,2007.0,4.77
279,The Legend of Zelda: Phantom Hourglass,Adventure,DS,Nintendo,Nintendo EAD,2007.0,4.76
280,Batman: Arkham City,Action,X360,Warner Bros. Interactive,Rocksteady Studios,2011.0,4.75
281,Driver 2,Action,PS,Atari,Reflections Interactive,2000.0,4.73
282,The Simpsons: Hit & Run,Racing,PS2,VU Games,Radical Entertainment,2003.0,4.7
283,World of Warcraft: Cataclysm,MMO,PC,Blizzard Entertainment,Blizzard Entertainment,2010.0,4.7
284,Tony Hawk's Pro Skater 2,Sports,PS,Activision,Neversoft Entertainment,2000.0,4.68
285,Monster Hunter: World,Action,PS4,Capcom,Capcom,2018.0,4.67
286,Gran Turismo,Racing,PSP,Sony Computer Entertainment,Polyphony Digital,2009.0,4.67
287,The Lord of the Rings: The Two Towers,Action,PS2,Electronic Arts,Stormfront Studios,2002.0,4.67
288,Tomb Raider,Action,PS,Eidos Interactive,Core Design Ltd.,1996.0,4.63
289,God of War,Action,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,2005.0,4.62
290,The Legend of Zelda: A Link to the Past,Adventure,SNES,Nintendo,Nintendo EAD,1992.0,4.61
291,Forza Motorsport 4,Racing,X360,Microsoft Studios,Turn 10 Studio,2011.0,4.6
292,Guitar Hero III: Legends of Rock,Misc,Wii,RedOctane,Vicarious Visions,2007.0,4.6
293,"Pokemon: Let's Go, Pikachu!",Role-Playing,NS,Nintendo,Game Freak,2018.0,4.57
294,BioShock Infinite,Shooter,PC,2K Games,Irrational Games,2013.0,4.56
295,Mario & Luigi: Bowser's Inside Story,Role-Playing,DS,Nintendo,AlphaDream Corporation,2009.0,4.56
296,FIFA 15,Sports,PS3,EA Sports,EA Canada,2014.0,4.56
297,Mario & Sonic at the Olympic Winter Games,Sports,Wii,Sega,Sega,2009.0,4.54
298,Overwatch,Shooter,PS4,Blizzard Entertainment,Blizzard Entertainment,2016.0,4.54
